Customer ID,Gender,Age,City,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level,Churn
101,Female,29,New York,Gold,1120.2,14,4.6,True,25,Satisfied,0
102,Male,34,Los Angeles,Silver,780.5,11,4.1,False,18,Neutral,0
103,Female,43,Chicago,Bronze,510.75,9,3.4,True,42,Unsatisfied,1
104,Male,30,San Francisco,Gold,1480.3,19,4.7,False,12,Satisfied,0
105,Male,27,Miami,Silver,720.4,13,4.0,True,55,Unsatisfied,1
106,Female,37,Houston,Bronze,440.8,8,3.1,False,22,Neutral,0
107,Female,31,New York,Gold,1150.6,15,4.5,True,28,Satisfied,0
108,Male,35,Los Angeles,Silver,800.9,12,4.2,False,14,Neutral,0
109,Female,41,Chicago,Bronze,495.25,10,3.6,True,40,Unsatisfied,1
110,Male,28,San Francisco,Gold,1520.1,21,4.8,False,9,Satisfied,0
111,Male,32,Miami,Silver,690.3,11,3.8,True,34,Unsatisfied,1
112,Female,36,Houston,Bronze,470.5,7,3.2,False,20,Neutral,0
113,Female,30,New York,Gold,1200.8,16,4.3,True,21,Satisfied,0
114,Male,33,Los Angeles,Silver,820.75,13,4.4,False,15,Satisfied,0
115,Female,42,Chicago,Bronze,530.4,9,3.5,True,38,Unsatisfied,1
116,Male,29,San Francisco,Gold,1360.2,18,4.9,False,11,Satisfied,0
117,Male,26,Miami,Silver,700.6,12,3.7,True,48,Unsatisfied,1
118,Female,38,Houston,Bronze,450.9,8,3.0,False,25,Neutral,0
119,Female,32,New York,Gold,1170.3,14,4.7,True,29,Satisfied,0
120,Male,34,Los Angeles,Silver,790.2,11,4.0,False,16,Neutral,0
121,Female,43,Chicago,Bronze,505.75,10,3.3,True,41,Unsatisfied,1
122,Male,30,San Francisco,Gold,1470.5,20,4.8,False,13,Satisfied,0
123,Male,27,Miami,Silver,710.4,13,4.1,True,54,Unsatisfied,1
124,Female,37,Houston,Bronze,430.8,7,3.4,False,23,Neutral,0
125,Female,31,New York,Gold,1140.6,15,4.6,True,27,Satisfied,0
126,Male,35,Los Angeles,Silver,810.9,12,4.3,False,13,Neutral,0
